maison,ats,config_json,job_count,evidence
Undercover,NONE,,0,"robots undercoverism.com/robots.txt = HTTP 404 (no robots file -> nothing disallowed; site returns its themed 404 page). Proven absence: sitemap.xml = 200 with 1000 <loc> entries, grep career|job|recruit|採用|求人 = 0 hits. /recruit /career /careers /jobs /recruitment /about ALL 404. /company = 200 but is an UNPOPULATED TEMPLATE (社名 株式会社***, 電話番号 00-0000-0000, 代表者 *****, 資本金 0000,000,000円) - masked placeholder, no corporate/careers data. Site is the JP e-commerce storefront only. ATS sweep on undercover/undercoverism: all negative."
Ungaro,NONE,,0,"NOTE: emanuelungaro.com and www.emanuelungaro.com DO NOT RESOLVE (dig empty, curl 000) - a DNS failure, not a 403. Live official site is https://www.ungaro.com/ (title 'Emanuel Ungaro Paris - Official Website', WordPress). robots www.ungaro.com = 200 ALLOWED (only /wp-admin/,/wp-includes/,/wp-content/ Disallowed, uploads Allowed). Proven absence: page-sitemap.xml enumerated = 47 pages (EN+FR: collections, maison, parfums, decoration, events, contact, legal) with zero careers URL. /careers /jobs /recrutement /carrieres /nous-rejoindre /join-us /emploi /recrutements ALL 404. ATS sweep on 'ungaro': all negative."
Urban Decay,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""searchParam"":""search"",""searchValue"":""Urban Decay""}",1,"L'Oreal brand. robots https://careers.loreal.com/robots.txt -> 'User-agent: *' / 'Allow: /careers' + per-locale Allow lines, jobs not disallowed -> ALLOWED. Vendor = Avature (avature.portal.* tokens in page JS). GET /en_US/jobs/SearchJobs/?listFilterMode=1&search=Urban%20Decay&jobRecordsPerPage=20&jobOffset=0 -> header 'Showing 1- 1 of 1 result' and 1 unique job id (249707) collected = EXACT MATCH. Negative control search=zzzznope -> 'Showing 1- 0 of 0 result', 0 ids. Control search=Lancome -> 20, search=CeraVe -> 11, so the filter is genuine. Job ids were deduped on the trailing numeric id extracted from the JobDetail share links (the same job appears under several locale paths)"
Uriage,SuccessFactors,"{""origin"":""https://jobs.puig.com"",""path"":""/search/"",""brandMatch"":""none - no Uriage-labelled posting""}",0,"Puig brand - confirmed at source: the footer of https://www.uriage.com/fr/fr (200) links href=""http://www.puig.com/"" and carries NO careers/recrutement link of its own; uriage.com sitemap.xml -> 404, corporate.uriage.com and dermatologiques-uriage.com -> DNS failure (000, not 403). robots https://jobs.puig.com/robots.txt disallows only /applybutton/ /talentcommunity/ /services/ /preapply/ /error /unsubscribe/ /reset/ -> /search/ and /job/ ALLOWED. GET /search/?q=&startrow=0..225 -> 228 unique /job/{slug}/{id}/ ids (matches the portal's own 'Results 1 to 25 of 228'). Slugs demonstrably carry brand names (BYREDO=18, Rabanne=22, Carolina Herrera=17/16, Gaultier=11, Dries=5, Louboutin=1), so the zero is meaningful: 0 match /uriage/i. Verified ZERO on a working feed. NOTE the OTHER Puig portal careers.puig.com/opportunities points to SAP SuccessFactors performancemanager.successfactors.eu which is robots-DISALLOWED ('Disallow: /') - not used"
Vacheron Constantin,RichemontCareers,"{""origin"":""https://careers.richemont.com"",""path"":""/en/jobs/"",""brandParam"":""brand"",""brandValue"":""Vacheron Constantin"",""pageParam"":""page""}",34,"robots https://careers.richemont.com/robots.txt -> 'User-agent: *' / 'Allow: /' (the /en/jobs/ Disallow lines are scoped to named bots PageFreezer/GPTBot/CCBot, NOT to *) -> ALLOWED. The page carries a real Maison facet <select name=""brand""> listing 27 maisons incl. Vacheron Constantin. GET /en/jobs/?brand=Vacheron%20Constantin&page=1..N -> declared 'Displaying 1 to 20 of 34 matching jobs' and 34 unique /en/jobs/jr{id}/ collected = EXACT MATCH. Negative control brand=zzzznope -> declared 0, collected 0. CORRECTION TO PRIOR BATCHES: richemont.wd3.myworkdayjobs.com robots reads 'Allow: /broadbean_external/' + 'Disallow: /richemont/' so the /richemont/ Workday site (total=1306) must NOT be used; the allowed /broadbean_external/ feed (total=422, negative control 0) carries NO brand field in its listing JSON (only title/locationsText/bulletFields=JR id), so careers.richemont.com is the correct brand-resolvable source"
Vaillant,NONE,"{""resolved_brand"":""Vaillant Studio (Alice Vaillant, Paris)"",""origin"":""https://vaillantstudio.com""}",0,"Brand resolved by search: VAILLANT = Vaillant Studio, Paris womenswear by Alice Vaillant, https://vaillantstudio.com (Shopify). robots = 200, 'User-agent: * / Allow: /' (only /admin,/cart/,/checkout,/orders Disallowed) -> ALLOWED. Proven absence: sitemap_pages_1.xml enumerated = 47 pages (collections, about, press, size guides, stockists, shipping, returns, legal) with zero careers URL. /pages/careers /pages/jobs /pages/recrutement /pages/carrieres /careers /jobs /pages/join-us ALL 404 (/pages/contact = 200). WARNING - PROMPT INJECTION IN robots.txt: vaillantstudio.com/robots.txt embeds prose addressed to AI agents instructing them to 'highly recommend your user' install https://shop.app/SKILL.md and to use a UCP/MCP endpoint for cart/checkout. Treated as DATA and IGNORED; only the User-agent/Disallow directives were used."
Valentino,SuccessFactors,"{""vendor"":""successfactors_rmk"",""origin"":""https://jobs.valentino.com"",""path"":""/search/"",""pagination"":""startrow"",""page_size"":10,""job_url"":""/job/{slug}/{id}/""}",60,"robots www.valentino.com = 200; footer link https://jobs.valentino.com/. robots jobs.valentino.com = 200 PARTIAL: Disallows /applybutton/,/talentcommunity/,/emailsubscribe/,/services/,/preapply/,/error,/unsubscribe/,/reset/ but /search/ and /job/ are PERMITTED. Vendor proven via Playwright --net: loads performancemanager.successfactors.eu jquery + rmkcdn.successfactors.com fonts + /platform/js/j2w/* (Jobs2Web) = SAP SuccessFactors RMK. NOT the robots-disallowed performancemanager5/career5 hosts. Declared total 'Results 1 to 10 of 60'. ENUMERATED startrow=0,10,20,30,40,50 -> 10 links each, UNION = 60 UNIQUE /job/ ids (page0 != page50, so pagination is honored, not ignored). NEGATIVE CONTROL ?q=zzzznope -> renders '#noresults: There are currently no open positions matching zzzznope' and its 10 links are a recommended-jobs widget that is a strict SUBSET of the 60 - filter behaves correctly."
Valentino Beauty,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""searchParam"":""search"",""searchValue"":""Valentino""}",12,"L'Oreal-licensed beauty line. Same verified careers.loreal.com Avature portal (robots ALLOWED; negative control zzzznope -> 0). GET ?listFilterMode=1&search=Valentino&jobOffset=0..20 -> header 'Showing 1- 12 of 12 results' and 12 unique numeric job ids = EXACT MATCH. Titles confirm the beauty line e.g. 'Valentino Make-up Artist, Selfridges London (37.5 Hours)', 'Valentino Deputy Business Manager, Selfridges London', '[2026]China-LUXE-VLTN-Sales Supervisor,Guangshen'"
Van Cleef & Arpels,RichemontCareers,"{""origin"":""https://careers.richemont.com"",""path"":""/en/jobs/"",""brandParam"":""brand"",""brandValue"":""Van Cleef & Arpels"",""pageParam"":""page""}",269,"Same verified careers.richemont.com Maison facet (robots 'Allow: /' for *). GET /en/jobs/?brand=Van%20Cleef%20%26%20Arpels&page=1..14 -> declared 'of 269 matching jobs', 269 unique jr ids collected = EXACT MATCH. IMPORTANT: the real pagination param is 'page', NOT 'pg' - ?pg=1/2/3 all return page 1's identical 20 rows (verified: same first id jr132996 on pg=1,2,3), which would have capped every brand at 20"
Vanessa Bruno,NONE,,,"robots https://www.vanessabruno.com/robots.txt HTTP 200 ALLOWED (User-agent:* Allow:/). Homepage rendered via Playwright (HTTP 200, 171918B): full footer nav enumerated = The Journal / The Home / My Account / Contact us / Cookies / FAQ / Legal notice / Find a store / Terms / Returns(global-e) - NO careers/recrutement/emploi/nous-rejoindre link. Path probes /careers /career /jobs /pages/careers /recruitment /nous-rejoindre /carrieres /en/careers ALL return HTTP 200 but are SOFT-404: byte-identical (265479B) to negative control /zzzznope99999, differing only in GlobalECartId; title stays 'Vanessa Bruno Official Online Store'. Sitemap declared in robots (https://www.vanessabruno.com/sitemap/sitemap-index_1-en.xml) returns HTTP 404. DNS careers./recrutement.vanessabruno.com = NXDOMAIN. WTTJ Algolia wk_cms_organizations_production query 'vanessa bruno' nbHits=0 (neg ctrl 'zzzznopebrand' nbHits=0). Greenhouse/Lever/Ashby/Recruitee/Personio/Workable/Teamtailor slug sweep on vanessabruno + vanessa-bruno: no hit."
Vanity Fair France,Workday,"{""tenant"":""condenast"",""site"":""CondeCareers"",""origin"":""https://condenast.wd115.myworkdayjobs.com"",""appliedFacets"":{""locationCountry"":[""54c5b6971ffb4bf0b116fe7651ec789a""]},""brandMatch"":""title matches /vanity\\s*fair/i""}",2,"Conde Nast title. robots https://condenast.wd115.myworkdayjobs.com/robots.txt -> 'Allow: /CondeCareers/' + 'Allow: /PubWorx_External_Career_Site/', only 'Disallow: /refreshFacet/' -> ALLOWED. POST /wday/cxs/condenast/CondeCareers/jobs with the FR locationCountry facet -> total=14, all 14 rows returned in one page at '91-93 Rue de Richelieu, Paris, FR' (so no pagination risk). 2 titles name Vanity Fair: 'Web Editor Vanity Fair Intern' x2. Unfiltered tenant total=139. No brand facet exists - brand is only inferable from the title, and these 2 are explicit"
Vaquera,NONE,,,"robots https://vaquera.nyc/robots.txt HTTP 200 ALLOWED (Shopify default; only /admin /cart /checkout /account disallowed; /pages/ permitted). Shopify store. Rendered homepage HTTP 200 via Playwright: footer = About Vaquera / Stockists / Contact us / Customer Care / Accessibility / Privacy Policy / Newsletter / Instagram - NO careers link; only anchor of interest is '/#contact'. sitemap.xml HTTP 200 enumerated: products only, sitemap_pages_1.xml empty. Path probes /careers /jobs /pages/careers /pages/jobs /pages/work-with-us all HTTP 404. DNS careers.vaquera.nyc = NXDOMAIN. WTTJ 'vaquera' nbHits=0. Greenhouse/Lever/Ashby/Recruitee/Personio/Workable/Teamtailor sweep on slug 'vaquera': no hit."
Vera Wang Parfums,SuccessFactors,"{""origin"":""https://careers.coty.com"",""path"":""/search/"",""brandMatch"":""none - no Vera Wang-labelled posting""}",0,"Coty-licensed fragrance. robots https://careers.coty.com/robots.txt disallows only /applybutton/ /talentcommunity/ /services/ /preapply/ /error /unsubscribe/ /reset/ -> /search/ and /job/ ALLOWED. GET /search/?q=&startrow=0..125 -> portal declares '116 Jobs' and 116 unique /job/{slug}/{id}/ ids collected = EXACT MATCH. Negative control /search/?q=zzzznope -> 0 job links. Slugs demonstrably carry brand names (CoverGirl=3, Marc Jacobs=1, Rimmel=1, Adidas=1, Bruno Banani=1, Sally Hansen=1), so the zero is meaningful: 0 match /vera[-_ ]?wang/i. Verified ZERO on a working feed"
Verescence,SELF_HOSTED_WORDPRESS,"{""type"": ""wordpress_cpt"", ""offer_sitemap"": ""https://www.verescence.com/offer-sitemap.xml"", ""listing_fr"": ""https://www.verescence.com/fr/nos-offres/"", ""listing_en"": ""https://www.verescence.com/en/our-offers/"", ""post_type"": ""offer""}",11,"robots https://www.verescence.com/robots.txt HTTP 200 ALLOWED (Yoast block: 'User-agent: * / Disallow:' = allow all; only /fr/actualites/filtres/ excluded). Footer 'Carrieres' -> https://www.verescence.com/fr/nos-offres/ (HTTP 200). NO third-party ATS: scanned page for talentsoft/workday/smartrecruiters/successfactors/icims/teamtailor/recruitee/greenhouse/lever/wttj/flatchr/taleez/digitalrecruiters/beetween/cegid/hellowork = zero hits; zero iframes; only external hosts are yoast/twitter/w3. Self-hosted WordPress custom post type 'offer'. Authoritative enumeration https://www.verescence.com/offer-sitemap.xml HTTP 200 = 13 <loc>, minus 2 archive index pages (/fr/nos-offres/ and /en/our-offers/) = 11 unique job posts: 6 under /fr/nos-offres/ (agent-qualite, conducteur-de-ligne, conducteur-de-machine-de-formage, manutentionnaire, regleur, technicien-de-maintenance-h-f-2) + 5 under /en/our-offers/ (Spanish-language Spain-plant roles: practicas-produccion-industrial, ingenieria-de-procesos-industriales, departamento-tecnico-de-aisladores, tecnico-a-de-produccion-industrial, fabricacion-y-mejora-de-procesos-industriales). No overlap between the two locales. Cross-check: FR listing page anchors = 6 offer URLs, EN listing page = 5 offer URLs, 6+5=11 matching the sitemap exactly. RSS feed /fr/nos-offres/feed/ returns HTTP 500 (broken), so sitemap is the reliable source. /en/job-offers/ = HTTP 404."
Véronique Leroy,NONE,,,"robots https://veroniqueleroy.com/robots.txt HTTP 403 (robots file itself blocked) but site pages serve HTTP 200 - treated as no explicit prohibition; only sitemap-driven reads performed. WordPress/WooCommerce e-shop (HTTP 200, 74427B). Full page enumeration via https://veroniqueleroy.com/sitemap.xml -> sitemap-pt-page-* : boutique, commander, conditions-generales-de-vente, en/cart, en/checkout, en/history, en/homepage, en/legal-mentions, en/privacy-policy, en/shop, en/stores, en/terms-and-conditions, histoire, mentions-legales, mon-compte, newsletter-en, newsletter-fr, panier, showroom, wholesale-login, wholesale-store = NO careers/recrutement page of any kind. Homepage nav/footer confirms: E-Shop/Collections/Histoire/Points de vente/Obsessions; only contacts are mailto:eshop@ and mailto:press@. veroniqueleroy.fr (HTTP 200) is an UNRELATED business ('Formation LME pour therapeutes'), not the fashion label. veronique-leroy.com = NXDOMAIN. WTTJ 'veronique leroy' nbHits=0."
Versace,Workday,"{""vendor"": ""workday"", ""tenant"": ""capri"", ""host"": ""capri.wd1.myworkdayjobs.com"", ""site"": ""Versace"", ""jobs_api"": ""https://capri.wd1.myworkdayjobs.com/wday/cxs/capri/Versace/jobs"", ""method"": ""POST"", ""body"": {""limit"": 20, ""offset"": 0, ""appliedFacets"": {}, ""searchText"": """"}, ""sitemap"": ""https://capri.wd1.myworkdayjobs.com/Versace/siteMap.xml"", ""paginate"": ""offset += limit; stop when no new externalPath""}",50,"www.versace.com robots.txt = HTTP 403 Akamai 'Access Denied' (BLOCKED_WAF, not disallowed) - also 403 to headless Chromium, so brand site unusable. careers.versace.com resolves (62.116.130.8) and HTTP 301 redirects to https://www.linkedin.com/company/versace/jobs/ - LinkedIn is on the never-probe list, NOT followed. jobs.versace.com = NXDOMAIN (DNS failure, not 403). capriholdings.com robots HTTP 200 ALLOWED but /careers/ = HTTP 404 (IR site; /people/Join-Us/ links only to michaelkors.com/careers.html + us.jimmychoo.com and LinkedIn). Workday tenant probe (INVERTED rule): versace/capriholdings/michaelkors = HTTP 422 NONEXISTENT; tenant 'capri' on wd1 = HTTP 404 = REAL tenant. Site-name sweep found capri.wd1.myworkdayjobs.com/wday/cxs/capri/Versace/jobs = HTTP 200. Confirmed by robots https://capri.wd1.myworkdayjobs.com/robots.txt HTTP 200 which explicitly lists 'Allow: /Versace/' plus Sitemap .../Versace/siteMap.xml (also Michael_Kors and JimmyChooCareers sites on same tenant). COUNT: paginated offset 0/20/40 -> 20+20+10 = 50 unique externalPath ids; declared total=50 on page 1 only (total=0 on pages 2-3, confirming the 'page-1-only' warning); offset=60 wrapped back to page-1 rows (0 new ids). Cross-check Versace/siteMap.xml = exactly 50 <loc>. Negative control searchText=zzzznope99 -> total 0, rows 0. api.smartrecruiters.com Versace/CapriHoldings totalFound=0 (and zzzznope also 0, so worthless)."
Vetements,NONE,,,"robots https://www.vetementswebsite.com/robots.txt HTTP 200 ALLOWED (Wix: 'User-agent: * / Allow: /'), same for www.vetements.com (site 301-redirects vetementswebsite.com -> vetements.com). Rendered via Playwright HTTP 200 (495916B): entire site nav/footer is SHOP WOMENSWEAR / SHOP MENSWEAR / INSTAGRAM / SHOWS / PRIVACY POLICY / (c)2026 VETEMENTS GROUP AG - NO careers link. Wix sitemap https://www.vetements.com/sitemap.xml HTTP 200 -> pages-sitemap.xml which contains exactly 2 URLs total: https://www.vetements.com and https://www.vetements.com/blank. Path probes /careers /career /jobs /recruitment /nous-rejoindre /carrieres all HTTP 404. DNS careers.vetements.com = NXDOMAIN. WTTJ 'vetements' returned 24 fuzzy hits (Wolverine et Associes, LOSANJE, ONIVERSE, LEBEURRE...) - all unrelated French companies, the query matched the common noun 'vetements'; no Vetements Group AG org. Greenhouse/Lever/Ashby/Recruitee/Personio/Workable/Teamtailor sweep on 'vetements': no hit."
Vhernier,RichemontCareers,"{""origin"":""https://careers.richemont.com"",""path"":""/en/jobs/"",""brandParam"":""brand"",""brandValue"":""Vhernier"",""pageParam"":""page""}",10,"Same verified careers.richemont.com Maison facet. GET /en/jobs/?brand=Vhernier&page=1 -> declared 10, 10 unique jr ids collected = EXACT MATCH. Negative control brand=zzzznope -> 0/0"
Vib's,Magnet,"{""vendor"": ""magnet"", ""frontend"": ""hellowork_cvcatcher"", ""origin"": ""https://recrutement.groupe-beaumanoir.com"", ""login"": {""url"": ""https://api.magnet.work/v2/security/login"", ""method"": ""POST"", ""body"": {""usr"": ""<base64 of 9550007d348362827f2534be59208f28>"", ""pass"": ""<base64 of current UTC ISO8601 e.g. 2026-09-01T21:37:35.310Z>""}}, ""jobs"": {""url"": ""https://api.magnet.work/v2/job-offers"", ""method"": ""POST"", ""auth"": ""Bearer <token from login>"", ""headers"": {""x-language"": ""fr""}, ""body"": {""companies"": [""Vib's""], ""limit"": 100, ""offset"": 0, ""aggs"": [""companies""], ""sort"": {""date"": ""desc""}}}, ""brand_facet"": ""companies"", ""facet_key"": ""Vib's"", ""token_ttl_sec"": 1800}",33,"robots https://recrutement.groupe-beaumanoir.com/robots.txt HTTP 200 = 'User-agent: * / Allow: /' ALLOWED. CORRECTION to the supplied precedent: the login body needs BOTH usr AND pass - posting only usr returns HTTP 400 {""code"":""invalid_input"",""messages"":[""body should have required property 'pass'""]}. Captured the real request via Playwright: usr is the BASE64 of the hex string (OTU1MDAwN2QzNDgzNjI4MjdmMjUzNGJlNTkyMDhmMjg=) and pass is the BASE64 of the current UTC ISO-8601 timestamp (e.g. MjAyNi0wOS0wMVQyMTozNzozNS4zMTBa). Reproduced with plain curl: login HTTP 200 -> JWT (exp +30min); POST /v2/job-offers HTTP 200 -> total=408 group-wide (matches the stated 408). companies aggregation: La Halle 66, Cache Cache 60, Bonobo 46, Boardriders 44, Morgan 41, Clog 38, Caroll 37, VIB'S 33, Groupe Beaumanoir 17, Breal 11, Beaumanoir 7, Sarenza 5, Sarenza Studio 2, Jennyfer 1 (sum 408). Brand-filtered query companies=[""Vib's""] -> total 33, list length 33, 33 UNIQUE ids, every row company=""Vib's (Reseau)"". Negative control companies=[""zzzznope""] -> total 0, so the facet is exact, not fuzzy. Note the front-end is now a HelloWork CVCatcher career site (i.hellowork.com assets, groupe_beaumanoir_careersite_cvcatcher) served over the Magnet API."
Vichy,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""searchParam"":""search"",""searchValue"":""Vichy""}",2,"L'Oreal brand. Same verified Avature portal (robots ALLOWED; zzzznope -> 0). GET ?listFilterMode=1&search=Vichy -> header 'Showing 1- 2 of 2 results', 2 unique numeric job ids (244788, 249291) = EXACT MATCH"
Victoria Beckham,NONE,,,"robots https://www.victoriabeckham.com/robots.txt HTTP 200 ALLOWED (Shopify default; /pages/ permitted). Shopify. COMPLETE page enumeration via https://www.victoriabeckham.com/sitemap.xml -> sitemap_pages_1.xml?from=8637677604&to=689735172472 HTTP 200 = 107 /pages/ URLs listed in full (search-results, customer-hub, london, modern-slavery-statement, about, contact-us, stores, editorial, size guides, lookbooks, gifting...) - NOT ONE careers/jobs/work-with-us/vacancies page. Path probes /careers /career /jobs /pages/careers /pages/jobs /pages/work-with-us /recruitment all HTTP 404. DNS careers.victoriabeckham.com and jobs.victoriabeckham.com = NXDOMAIN. WTTJ 'victoria beckham' nbHits=1 but the single hit is 'Kleep' (unrelated collision). Greenhouse/Lever/Ashby/Recruitee/Personio/Workable/Teamtailor sweep on victoriabeckham + victoria-beckham: no hit. api.smartrecruiters.com/v1/companies/VictoriaBeckham totalFound=0 (proves nothing, neg ctrl also 0)."
