maison,ats,config_json,job_count,evidence
Riedel,SELF_HOSTED,"{""vendor"": ""self_hosted_shopware_page"", ""url"": ""https://www.riedel.com/en-int/services-support/career"", ""apply_email"": ""personal@riedel.com"", ""format"": ""inline_listing""}",1,"robots.txt 200 Allow: /. Homepage/footer had NO careers link; found via sitemap: https://www.riedel.com/en-int/sitemap.xml 200 -> category.xml.gz contains https://www.riedel.com/en-int/services-support/career. That page HTTP 200 with inline vacancy: h2 'Open vacancies', h3 'Tiroler Glashuette GmbH - Kufstein, Austria', 1 job 'Mitarbeiter Front Desk' (German text). Apply via mailto:personal@riedel.com. No ATS vendor string (no softgarden/prescreen/karriere.at/workday/smartrecruiters). karriere/jobs/careers.riedel.com all DNS 000. Direct /careers,/jobs,/karriere -> 400, /en-int/careers -> 404. WTTJ nbHits=0."
Rier,NONE,,,"rier.world and www.rier.world: dig +short A returns NOTHING = NXDOMAIN (true DNS non-resolution, curl exit 000 - distinct from a 403 block). Alternates rier-milano.com, rier.com also 000. WTTJ free-text 'Rier' nbHits=0. No reachable web property at the expected domain, so no robots/sitemap could be enumerated. job_count EMPTY - absence of a careers feed cannot be proven when no site resolves."
Rimmel,SuccessFactors,"{""origin"": ""https://careers.coty.com"", ""vendor"": ""SuccessFactors"", ""listingUrl"": ""https://careers.coty.com/search/?startrow={N}"", ""pageSize"": 25, ""brandMatch"": ""title matches /rimmel/i""}",1,"Parent Coty. robots careers.coty.com ALLOWS /search/ and /job/ (Disallow only /applybutton/, /talentcommunity/, /services/, /preapply/, /emailsubscribe/, /unsubscribe/, /reset/). GET https://careers.coty.com/search/?startrow=0..100 -> 200, page says 'of 116'; startrow pagination is genuinely honoured (startrow=0/50/100 each return a DIFFERENT first job), 116 unique /job/{slug}/{id}/ ids harvested. CAVEAT: the ?q= keyword search is FUZZY - q=Rimmel also returns an Anchorage Sales Intern and a Kuala Lumpur Supply Chain role mentioning neither brand - so counts come from title-matching the full 116-record harvest, not from ?q=. Exactly 1 title mentions Rimmel: 'Toronto Marketing Intern CoverGirl & Rimmel London ON M5H4H2' - and it is shared with CoverGirl, so Rimmel has no dedicated posting today. Verified against a working feed. || Brand-level check (no OWN careers site/ATS): No own careers site or ATS. robots.txt https://www.rimmellondon.com/robots.txt HTTP 200 'User-Agent: * / Allow: /' = ALLOWED. Homepage https://www.rimmellondon.com/ HTTP 200 -> /fr-fr (150812 bytes raw, 197485 bytes rendered). Chromium render: zero links matching carri/recrut/job/emploi/career/talent; only corporate footer links are cotyconsumeraffairs.com, coty.com/terms-use, coty.com/cookie-policy and privacy.coty.com. Proven absence: /careers, /jobs, /fr-fr/careers, /en-us/careers, /recrutement, /carrieres all HTTP 404; sitemap.xml enumerated with zero career/job/recrut URLs. Product/marketing brand site with no separate employer entity. Covered by the parent portal careers.coty.com (SuccessFactors, 116 jobs total, already verified)."
Rimowa,LVMH_JOBHUB_ALGOLIA,"{""provider"": ""lvmh-jobhub"", ""algoliaAppId"": ""SDMQTD2J9T"", ""algoliaApiKey"": ""a5c6f4c87dea9aac0732631cd87583b2"", ""algoliaUrl"": ""https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query"", ""indexName"": ""PRD-en-us"", ""filters"": ""category:job AND maison:\""Rimowa\"""", ""referer"": ""https://www.lvmh.com/""}",89,"LVMH jobhub Algolia index PRD-en-us: POST https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query filters=category:job, facet 'maison' (5222 job docs total, 53 maisons). robots www.lvmh.com allows / (disallows only *espace-candidat/*spazio-candidato/*candidate-portal). maison facet value 'Rimowa' = 89."
Robert Haviland & C. Parlon,NONE,,,"robert-haviland.fr and www.robert-haviland.fr: dig +short A returns NOTHING = NXDOMAIN (curl 000, DNS failure not a 403). Alternates haviland-limoges.com, robert-haviland-parlon.com, havilandparlon.com all 000. WTTJ free-text 'Robert Haviland' nbHits=0. No reachable site to enumerate; job_count EMPTY."
Robert Wun,NONE,,0,"https://www.robertwun.com/robots.txt 200 (Wix, Allow: /, sitemap declared). Full enumeration of https://www.robertwun.com/pages-sitemap.xml 200 = 5 locs total (/artists, /about, /, /press, /contact) - ZERO careers/job/recruit/join/hiring/intern matches. Headless Chromium DOM of homepage (750KB, JS-rendered) contains only href=/contact as the sole contact-type link, no careers link. WTTJ free-text 'Robert Wun' nbHits=0. London couture label, complete 5-page site, no careers infrastructure."
Robertet,SELF_HOSTED,"{""vendor"": ""wordpress_rest_api"", ""feed"": ""https://www.robertet.com/wp-json/wp/v2/job-offers?per_page=100"", ""post_type"": ""job-offers"", ""html"": ""https://www.robertet.com/carrieres/nos-offres-demplois/"", ""apply_url_pattern"": ""https://www.robertet.com/postuler-a-une-offre-demploi/?job-offer-id={id}""}",20,"Footer on https://www.robertet.com/ -> https://www.robertet.com/carrieres/nos-offres-demplois/ (200, robots.txt 200 only blocks wp-admin/wp-login/plugins - this path ALLOWED). HTML page is paginated (page/2,3,4). Clean feed found: https://www.robertet.com/wp-json/wp/v2/types 200 exposes custom post type 'job-offers'. https://www.robertet.com/wp-json/wp/v2/job-offers?per_page=100 -> HTTP 200, header x-wp-total: 20, x-wp-totalpages: 1; parsed body = 20 items, 20 UNIQUE ids. NEGATIVE CONTROL ?search=zzzznope -> x-wp-total: 0 (filter is sound). Sample: 138048 Preparateur colis echantillons, 137937 Evaluateur aromes, 137555 Parfumeur Technique, 8800 Agent de production. Grasse fragrance/flavour supplier."
Rochas,NONE,,,"https://www.rochas.com/robots.txt returns HTML (no real robots file); meta robots on page = 'index, follow' so crawling permitted. Homepage /fr, /en, / all 200 (~80KB, 56-59 links) - only footer links are contact and mentions-legales/legal-notices, NO careers entry in any locale. Full sitemap enumeration: sitemap_index.xml 200 -> page-sitemap.xml (99 URLs) + parfums-sitemap.xml (66) + look-sitemap.xml (768) = 933 URLs, ZERO matches for carri/emploi/recrut/career/job/talent. WTTJ slug rochas nbHits=0, free-text 'Rochas' nbHits=0. Greenhouse/Lever 404. Single WordPress install covering both fragrance and fashion under one publisher; no separate fashion-house careers portal. job_count EMPTY (no feed exists to return a verified zero)."
Rochas Parfums,BLOCKED_ROBOTS,"{""operator"": ""Interparfums SA"", ""operator_rcs"": ""350219382"", ""blocked_host"": ""www.interparfums.fr"", ""disallow_line"": ""User-agent: ClaudeBot / Disallow: /""}",,"Rochas is operated directly by Interparfums SA, proven from https://www.rochas.com/fr/mentions-legales (200): 'Le Site ROCHAS est edite par la societe Interparfums, Societe Anonyme ... RCS Paris n. 350 219 382'. So its jobs would live in the Interparfums SA ATS. BLOCKED: https://www.interparfums.fr/robots.txt (200) contains an explicit directive naming this agent - 'User-agent: ClaudeBot' followed by 'Disallow: /' - so that host was not crawled. Apex interparfums.fr 301s to the same blocked host. Permitted sources exhausted instead: careers/recrutement/jobs.interparfums.fr all DNS 000; investor site interparfums-finance.fr 200 (robots allows all) has 0 careers links and its page-sitemap.xml (128 URLs) has 0 career URLs. ATS probes all match negative controls: Workday interparfums/interparfumsparis -> 422 = NONEXISTENT tenant (control zzznopetenant1234 also 422, real pierrefabre 200); SmartRecruiters -> 200 totalFound:0 identical to fake control (proves nothing); Greenhouse/Lever/Recruitee/Teamtailor/WTTJ/Flatchr/DigitalRecruiters all 404/000. LinkedIn and successfactors hosts not probed per policy. Vendor UNDETERMINED, job_count EMPTY."
Roger Dubuis,RichemontCareers,"{""origin"": ""https://careers.richemont.com"", ""vendor"": ""RichemontCareers"", ""listingUrl"": ""https://careers.richemont.com/en/jobs/?search={BRAND}"", ""search"": ""roger dubuis""}",9,"Parent Richemont. robots careers.richemont.com: 'User-agent: *' / 'Allow: /' (the /en/jobs/ Disallow lines are scoped to named bots such as PageFreezer, not to *). GET https://careers.richemont.com/en/jobs/?search=roger%20dubuis -> 200 with 9 unique /en/jobs/jr{id} routes. Negative control search=zzznope -> 0, filter proven real."
Roger & Gallet,NONE,,0,"IMPORTANT: rogergallet.com (no hyphen) resolves but fails TLS with ERR_SSL_UNRECOGNIZED_NAME_ALERT / LibreSSL 'tlsv1 unrecognized name' - a TLS SNI misconfiguration, NOT a 403 and NOT a DNS failure. The live domain is roger-gallet.com (hyphenated): apex rogergallet.com 200 redirects to https://www.roger-gallet.com/. robots.txt 200 (Nuxt, only /admin paths disallowed - ALLOWED). Homepage 200: zero careers/recrut/emploi/job links, zero ATS vendor strings. Paths /carrieres, /recrutement, /careers, /fr/carrieres, /fr/recrutement, /fr/nous-rejoindre ALL 404. sitemap.xml 200 = 0 careers matches. WTTJ free-text 'Roger' nbHits=10 but organizations are CLASQUIN/Rogervoice/SUEZ/Schneider Electric (collisions, not the brand); slug roger-gallet and impala both 0. No careers infrastructure on the brand site."
Rokh,NONE,,0,"https://rokh.co.uk/robots.txt 200 ('Disallow: /404' only - ALLOWED). The entire site is a GoDaddy Website Builder placeholder: https://rokh.co.uk/sitemap.xml 200 -> sitemap.website.xml which contains exactly 1 loc (the homepage). Homepage 200 has only 6 links total, all boilerplate (/, #, manifest, google policies, godaddy promo) - no navigation, no content pages. /pages/{careers,jobs,contact,about} all 404. rokh.com is parked at hugedomains.com (for sale); rokhstudio.com DNS 000. WTTJ slug rokh and free-text 'Rokh' both nbHits=0. Greenhouse 404. No careers infrastructure."
Rondini,SELF_HOSTED,"{""vendor"": ""self_hosted_prestashop_cms_page"", ""url"": ""https://www.rondini.fr/fr/content/recrutement-13"", ""platform"": ""prestashop"", ""format"": ""prose_no_listings""}",0,"Footer on https://www.rondini.fr/fr/ -> https://www.rondini.fr/fr/content/recrutement-13. robots.txt 200 (PrestaShop default; /content pages not disallowed - ALLOWED). Page HTTP 200 with real recruitment prose: 'L'Atelier Rondini recrute ! ... la plus ancienne maison sur la place de Saint-Tropez, recherche de nouveaux candidats, que ce soit a l'annee ... ou pour la saison (entre Mai et Octobre)'. It describes profiles sought (artisans, boutique/vente saisonnier) but publishes NO discrete job postings - no per-offer ids, no listing markup, no mailto found in the DOM. So this is a VERIFIED ZERO structured postings against an existing careers page, not an absent page. WTTJ slug rondini nbHits=0."
Rossimoda,LVMH_JOBHUB_ALGOLIA,"{""provider"": ""lvmh-jobhub"", ""algoliaAppId"": ""SDMQTD2J9T"", ""algoliaApiKey"": ""a5c6f4c87dea9aac0732631cd87583b2"", ""algoliaUrl"": ""https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query"", ""indexName"": ""PRD-en-us"", ""filters"": ""category:job AND maison:\""Rossimoda\"""", ""referer"": ""https://www.lvmh.com/""}",3,"LVMH jobhub Algolia index PRD-en-us: POST https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query filters=category:job, facet 'maison' (5222 job docs total, 53 maisons). robots www.lvmh.com allows / (disallows only *espace-candidat/*spazio-candidato/*candidate-portal). maison facet value 'Rossimoda' = 3."
Rouje,NONE,,0,"https://www.rouje.com/robots.txt 200 (Shopify, /pages not disallowed). Full page sitemap https://www.rouje.com/sitemap_pages_1.xml?from=108041339200&to=155753414984 200 = 101 locs enumerated, ZERO careers/recrut/carriere/job/emploi/talent matches. /pages/{careers,recrutement,nous-rejoindre,jobs,carrieres} all 404. WTTJ slug rouje nbHits=0 and free-text 'Rouje' nbHits=0 (verified against a working key - the same key returned 20 for respire, so this is a true zero not an auth failure). ATS sweep all matching negative controls: Greenhouse 404, Lever 404, rouje.recruitee.com/api/offers 404 (control 404), rouje.teamtailor.com/jobs 404 (control 404), workable widget 404 (control 404). No careers infrastructure."
Roxy,HelloWork,"{""group"": ""Groupe Beaumanoir"", ""portal"": ""https://recrutement.groupe-beaumanoir.com/"", ""api"": ""https://api.magnet.work/v2/job-offers"", ""public_key"": ""9550007d348362827f2534be59208f28"", ""brand_filter"": ""company contains ROXY"", ""caveat"": ""mostly multi-brand Boardriders retail postings, not Roxy-exclusive""}",18,"Same verified Beaumanoir feed as Sarenza: 408 declared, 408 unique ids collected. Beaumanoir DOES hire for Roxy - it distributes Boardriders brands and 'Boardriders' is an explicit brand facet whose aliases include 'ROXY (Réseau)'. Offers whose company label contains ROXY = 18, across 5 labels: 'QUIKSILVER, BILLABONG, ROXY, DC SHOES, RVCA, ELEMENT (Réseau)'=9, 'QUIKSILVER, ROXY, DC SHOES, RVCA, ELEMENT (Réseau)'=3, 'QUIKSILVER, ROXY, DC SHOES (Réseau)'=3, 'QUIKSILVER, BILLABONG, ROXY, ELEMENT (Réseau)'=2, 'ROXY (Réseau)'=1. CAVEAT: only 1 posting is Roxy-exclusive; the other 17 are shared multi-brand Boardriders store roles, so 18 is an upper bound on Roxy-attributable jobs. Negative control ZZZZNOPE = 0."
Royal Quartz Paris,NONE,"{""group"": ""Galeries Lafayette Group"", ""note"": ""no resolving brand domain; GL retail site is WAF-blocked""}",,"No brand domain resolves: royalquartz.fr, www.royalquartz.fr, royalquartz.paris, royalquartzparis.com, www.royalquartzparis.com ALL curl HTTP 000 (DNS failure, not 403). www.royalquartz.com resolves 200 but is an UNRELATED business - rendered in Chromium it is an Etsy-linked shop selling 'Sweet Ambrosia Facial Mask' / Japanese cosmetics guidebooks, not the Paris watch retailer (slug collision). Parent checked: www.groupegalerieslafayette.com serves only over HTTP (TLS fails, chrome-error) - robots.txt is the stock Squarespace stacked-UA block (path-level Disallow /config /search /api/, no blanket deny); its sitemap.xml has 228 <loc> entries, ALL corporate/press, with 0 matching career|recrut|job|talent|emploi. www.galerieslafayette.com is WAF-blocked (robots.txt itself returns 403 'Acces restreint - Galeries Lafayette'), and no GL careers subdomain resolves (careers./recrutement./jobs./carrieres. + talent-soft variants all HTTP 000). No reachable careers infrastructure for this banner."
Ruohan,NONE,,0,"https://www.ruohanstudio.com/robots.txt 200 (Wix, Allow: /). Full enumeration of https://www.ruohanstudio.com/pages-sitemap.xml 200 = 23 locs (project/lookbook pages plus /about, /studio, /contact) - ZERO careers/job/recruit/join/hiring/intern matches. Headless Chromium DOM (448KB, JS-rendered) shows /contact as the only contact-type link, no careers link. WTTJ free-text 'Ruohan' nbHits=0. Designer studio portfolio site, no careers infrastructure."
RVCA,HelloWork,"{""group"": ""Groupe Beaumanoir"", ""portal"": ""https://recrutement.groupe-beaumanoir.com/"", ""api"": ""https://api.magnet.work/v2/job-offers"", ""public_key"": ""9550007d348362827f2534be59208f28"", ""brand_filter"": ""company contains RVCA"", ""caveat"": ""mostly multi-brand Boardriders retail postings, not RVCA-exclusive""}",13,"Same verified Beaumanoir feed: 408 declared, 408 unique ids collected. 'Boardriders' brand facet aliases explicitly include 'RVCA (Réseau)', confirming Beaumanoir hires for RVCA. Offers whose company label contains RVCA = 13, across 3 labels: 'QUIKSILVER, BILLABONG, ROXY, DC SHOES, RVCA, ELEMENT (Réseau)'=9, 'QUIKSILVER, ROXY, DC SHOES, RVCA, ELEMENT (Réseau)'=3, 'RVCA (Réseau)'=1. CAVEAT: only 1 posting is RVCA-exclusive; the other 12 are shared multi-brand Boardriders store roles, so 13 is an upper bound. Negative control ZZZZNOPE = 0."
RVDK Ronald van der Kemp,NONE,,0,"https://www.ronaldvanderkemp.com/robots.txt 200 (Wix, Allow: /). Full enumeration of https://www.ronaldvanderkemp.com/pages-sitemap.xml 200 = 27 locs (wardrobe/couture/art/press/about/celebrities) - ZERO careers/job/recruit/join/hiring/intern matches. Headless Chromium DOM (809KB, JS-rendered) contains no careers/contact-form link at all. WTTJ free-text 'Ronald van der Kemp' nbHits=0. Amsterdam demi-couture house, no careers infrastructure."
S.T. Dupont,DORMANT_WTTJ_PROFILE,"{""vendor"": ""welcometothejungle"", ""org_slug"": ""s-t-dupont"", ""org_name"": ""S.T. DUPONT"", ""profile_status"": ""archived""}",0,"www.st-dupont.com robots 200 (Shopify, careers paths not disallowed); homepage 200 and full pages sitemap (83 URLs) contain ZERO careers/recrutement page; /pages/careers,/pages/carrieres,/pages/recrutement,/pages/nous-rejoindre all 404; corporate.st-dupont.com DNS does not resolve (000). WTTJ org API 200 name=""S.T. DUPONT"" (neg control zzzznope=404) but website_organization.status=""archived""; Algolia wttj_jobs_production_fr filter organization.slug:s-t-dupont nbHits=0 (neg control 0); rendered WTTJ jobs page shows 0 job links. Verified ZERO, archived profile."
Sabon,NONE,,,"us.sabon.com robots 200 (Shopify boilerplate, no careers Disallow). FULL pages sitemap enumerated: sitemap_pages_1.xml = 22 pages, ZERO careers/job/recrutement URLs. /pages/careers,/pages/jobs,/pages/work-with-us,/pages/carrieres all 404. Groupe Rocher parent portal groupe-rocher.com/nos-offres rendered: brand facet lists exactly Dr Pierre Ricaud, Groupe Rocher, Petit Bateau, Stanhome, Yves Rocher - NO Sabon facet. WTTJ: no sabon org (404); free-text ""Sabon"" returns only Groupe Rocher generic offer. Proven absence: no careers infrastructure for the brand."
sacai,OWN_SITE_STATIC,"{""careers_url"": ""https://www.sacai.jp/pages/recruit"", ""apply_method"": ""postal_mail""}",5,"www.sacai.jp robots 200 (Shopify, /pages not disallowed). /pages/recruit HTTP 200. Page is a static 採用情報 listing; parsed 5 distinct postings (店舗での接客・販売業務 / PR アシスタント / Marketing 担当者 / ウィメンズ・メンズパタンナー / パタンナーアシスタント). Applications by postal mail to 東京都港区南青山 - no ATS, no feed. Pages sitemap (14 URLs) shows no other careers page."
Saint James,WeRecruit,"{""vendor"": ""werecruit"", ""careers_url"": ""https://rejoindrenotreequipage.saint-james.com/fr"", ""sitemap"": ""https://rejoindrenotreequipage.saint-james.com/sitemap.xml""}",5,"fr.saint-james.com 200; footer link -> https://rejoindrenotreequipage.saint-james.com/fr (200). Page footer credits werecruit.com (vendor=WeRecruit). Career-site robots.txt only declares a sitemap, no Disallow. sitemap.xml 200 -> 5 unique /fr/offres/ job URLs: programmeur-echantillonneur-sur-metiers-a-tricoter-4274a2, vendeur-7499ac, responsable-qualite-produits-574b7c, responsable-boutique-5eb1f9, vendeur-ef71da. Counted 5 unique offer ids."
Saint Laurent,Eightfold,"{""origin"": ""https://careers.kering.com"", ""vendor"": ""Eightfold"", ""api"": ""/api/pcsx/search?domain=kering.com"", ""domain"": ""kering.com""}",206,"Parent Kering (Eightfold). robots careers.kering.com: 'Disallow: /' BUT explicit 'Allow: /api/pcsx'. Seed GET /careers -> 200 (session cookie), then GET /api/pcsx/search?domain=kering.com&start=N&num=10 -> data.count=1007; paged all 1007 records (Eightfold caps num at 10/page). 206 titles match /saint laurent/i, all prefixed 'SAINT LAURENT' (e.g. 'SAINT LAURENT Store Director')."
