maison	kind	score	verdict	signals	board_name	jobs	sample_url	reason
Hush & Hush	lever	0.2	HUMAIN	nom(+0.2)	HUSH	11	https://jobs.lever.co/hush/33691840-09fa-4f00-a46b-1715402f4ddd	INDÉCIDABLE/FAUX POSITIF — idem — faux positif probable
PEP	greenhouse	0.2	HUMAIN	nom(+0.2)	Pep	6	https://job-boards.greenhouse.io/pep/jobs/8658850002	INDÉCIDABLE/FAUX POSITIF — board "Pep" titres tech sales — pas Pep&Co (retail UK) : faux positif probable pour les 2
Pep&Co	greenhouse	0.2	HUMAIN	nom(+0.2)	Pep	6	https://job-boards.greenhouse.io/pep/jobs/8658850002	INDÉCIDABLE/FAUX POSITIF — idem
JAKO-O	personio	0.2	HUMAIN	nom(+0.2)	JAKO AG	20	https://jako.jobs.personio.de/job/1280438	doublon orthographe — validé sous « Jako — board JAKO AG = equipementier, pas JAKO-O »
Lindex Group	teamtailor	0.2	HUMAIN	nom(+0.2) site-injoignable(0)	Lindex	7	https://lindex.teamtailor.com/jobs/2122798-store-sales-manager	doublon orthographe — validé sous « Lindex »
Multiopticas	teamtailor	0.2	HUMAIN	nom(+0.2)	Multiópticas	86	https://multiopticas.teamtailor.com/jobs/7971285-director-a-optica-madrid	doublon orthographe — validé sous « Multiópticas »
Avani	greenhouse	0.2	HUMAIN	nom(+0.2)	Avani Media	0		board name adds business-domain word "media" — likely a different company
Code	personio	0.2	HUMAIN	nom(+0.2)	CODE Education GmbH	0		board name adds business-domain word "education" — likely a different company
NIA	personio	0.2	HUMAIN	nom(+0.2)	Nia Health GmbH	0		board name adds business-domain word "health" — likely a different company
Florence	lever	0.2	HUMAIN	nom(+0.2)	Florence Health	0		board name adds business-domain word "health" — likely a different company
Saylor	greenhouse	0.2	HUMAIN	nom(+0.2)	Saylor Agency	0		board name adds business-domain word "agency" — likely a different company
Solera	greenhouse	0.2	HUMAIN	nom(+0.2)	Solera Health	0		board name adds business-domain word "health" — likely a different company
Supreme	greenhouse	0.2	HUMAIN	nom(+0.2)	Supreme HVAC	0		board name adds business-domain word "hvac" — likely a different company
TCM	personio	0.2	HUMAIN	nom(+0.2)	TCM Systems GmbH	0		board name adds business-domain word "systems" — likely a different company
[ p H 7 ]	smartrecruiters-whitelabel	0	AUTO-REJETE		ph7	46	https://jobs.smartrecruiters.com/ph7/102828781	board name "ph7" ≠ maison
1979 Swimwear	smartrecruiters-whitelabel	0	AUTO-REJETE		1979	2	https://jobs.smartrecruiters.com/1979/743999675580235	board name "1979" ≠ maison
Amanda Ross Skin Care	wttj	0	AUTO-REJETE		Amanda	3	https://www.welcometothejungle.com/fr/companies/amanda/jobs/consultant-animateur-ice-h-f-france_paris	board name "Amanda" ≠ maison
Amazon	personio	0	AUTO-REJETE			3	https://amazon.jobs.personio.de/job/1680079	no board name to compare
Ampere Creations	recruitee	0	AUTO-REJETE		homepage	11	https://werkenbijampere.nl/o/team-lead-depot-eindhoven-1	board name "homepage" ≠ maison
Angela Caglia Skincare	personio	0	AUTO-REJETE			3	https://angela.jobs.personio.de/job/1995714	no board name to compare
Angela Kim Couture	personio	0	AUTO-REJETE			3	https://angela.jobs.personio.de/job/1995714	no board name to compare
Angela Pinto	personio	0	AUTO-REJETE			3	https://angela.jobs.personio.de/job/1995714	no board name to compare
Anton & Willem	personio	0	AUTO-REJETE		ANTON	11	https://anton.jobs.personio.de/job/834888	board name "ANTON" ≠ maison
Anton Heunis	personio	0	AUTO-REJETE		ANTON	11	https://anton.jobs.personio.de/job/834888	board name "ANTON" ≠ maison
Anton Sport	personio	0	HUMAIN	site-injoignable(0)	ANTON	11	https://anton.jobs.personio.de/job/834888	board name "ANTON" ≠ maison
APL: Athletic Propulsion Labs	teamtailor	0	AUTO-REJETE		APL	5	https://apl.teamtailor.com/jobs/8292718-farmaceut-till-kungens-kurva	board name "APL" ≠ maison
Arc'teryx	teamtailor	0	AUTO-REJETE		Arc	9	https://arc.teamtailor.com/jobs/8287130-workshop-apprentice-it-basildon	board name "Arc" ≠ maison
Aristo Shmat	personio	0	AUTO-REJETE		Lenyx Logistik & Service GmbH	10	https://aristo.jobs.personio.de/job/2554817	board name "Lenyx Logistik & Service GmbH" ≠ maison
ART	personio	0	AUTO-REJETE			3	https://art.jobs.personio.de/job/403330	no board name to compare
Art & Create	personio	0	HUMAIN	site-injoignable(0)		3	https://art.jobs.personio.de/job/403330	no board name to compare
Art Disco	personio	0	AUTO-REJETE			3	https://art.jobs.personio.de/job/403330	no board name to compare
Art of Vedas	personio	0	AUTO-REJETE			3	https://art.jobs.personio.de/job/403330	no board name to compare
Art-93	personio	0	HUMAIN	site-injoignable(0)		3	https://art.jobs.personio.de/job/403330	no board name to compare
Art'Abaska	personio	0	AUTO-REJETE			3	https://art.jobs.personio.de/job/403330	no board name to compare
ASK SCANDINAVIA	teamtailor	0	AUTO-REJETE		Scientific Group	3	https://ask.teamtailor.com/jobs/8251374-account-director-fixed-term-contract	board name "Scientific Group" ≠ maison
Aura Hair Mist™	greenhouse	0	AUTO-REJETE		Aura	5	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Aura Moda Italiana	greenhouse	0	AUTO-REJETE		Aura	5	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Aura Organics	greenhouse	0	AUTO-REJETE		Aura	5	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Aura Que	greenhouse	0	AUTO-REJETE		Aura	5	https://auraframes.com/careers?gh_jid=8723264002	board name "Aura" ≠ maison
Air Scense	greenhouse	0	AUTO-REJETE		Air	34	https://job-boards.greenhouse.io/air/jobs/4087693009	board name "Air" ≠ maison
Air~Pourri	greenhouse	0	AUTO-REJETE		Air	34	https://job-boards.greenhouse.io/air/jobs/4087693009	board name "Air" ≠ maison
AZUL BY MOUSSY	lever	0	AUTO-REJETE		Azul	17	https://jobs.lever.co/azul/e562ebc4-df65-4497-9a03-23443fb5d89d	board name "Azul" ≠ maison
Air Cosmetik	teamtailor	0	AUTO-REJETE		AIR	63	https://air.teamtailor.com/jobs/8315945-informatore-trice-servizi-energia-tempo-pieno	board name "AIR" ≠ maison
Bamboo Beauty Lifes	teamtailor	0	AUTO-REJETE		Bamboo	3	https://bamboo.teamtailor.com/jobs/7910584-senior-it-infrastructure-auditor	board name "Bamboo" ≠ maison
Bamboo Basics	teamtailor	0	AUTO-REJETE		Bamboo	3	https://bamboo.teamtailor.com/jobs/7910584-senior-it-infrastructure-auditor	board name "Bamboo" ≠ maison
Bamboo Cay	teamtailor	0	AUTO-REJETE		Bamboo	3	https://bamboo.teamtailor.com/jobs/7910584-senior-it-infrastructure-auditor	board name "Bamboo" ≠ maison
Bamboo Trading Company	teamtailor	0	AUTO-REJETE		Bamboo	3	https://bamboo.teamtailor.com/jobs/7910584-senior-it-infrastructure-auditor	board name "Bamboo" ≠ maison
bebe	personio	0	AUTO-REJETE		Skip Intro Gesellschaft für Medienproduktionen mbH	1	https://bebe.jobs.personio.de/job/1333362	board name "Skip Intro Gesellschaft für Medienproduktionen mbH" ≠ maison
Bébé Lune Studio	personio	0	HUMAIN	site-injoignable(0)	Skip Intro Gesellschaft für Medienproduktionen mbH	1	https://bebe.jobs.personio.de/job/1333362	board name "Skip Intro Gesellschaft für Medienproduktionen mbH" ≠ maison
Bebe Stores	personio	0	AUTO-REJETE		Skip Intro Gesellschaft für Medienproduktionen mbH	1	https://bebe.jobs.personio.de/job/1333362	board name "Skip Intro Gesellschaft für Medienproduktionen mbH" ≠ maison
Bentley	personio	0	AUTO-REJETE			10	https://bentley.jobs.personio.de/job/916224	no board name to compare
Bespoke Post	wttj	0	HUMAIN	site-injoignable(0)	Bespoke	8	https://www.welcometothejungle.com/fr/companies/bespoke/jobs/developpeur-web-fullstack-f-h-cdi-rousset_rousset	board name "Bespoke" ≠ maison
Best Company	personio	0	AUTO-REJETE			6	https://best.jobs.personio.de/job/2771501	no board name to compare
Best&Less	personio	0	AUTO-REJETE			6	https://best.jobs.personio.de/job/2771501	no board name to compare
Best Earth Goods	personio	0	AUTO-REJETE			6	https://best.jobs.personio.de/job/2771501	no board name to compare
Bettina Bensinger	wttj	0	HUMAIN	site-injoignable(0)	Bettina	7	https://www.welcometothejungle.com/fr/companies/bettina/jobs/assistant-de-collection_monaco_BETTI_kGW1eJz	board name "Bettina" ≠ maison
Bettina Vermillon	wttj	0	AUTO-REJETE		Bettina	7	https://www.welcometothejungle.com/fr/companies/bettina/jobs/assistant-de-collection_monaco_BETTI_kGW1eJz	board name "Bettina" ≠ maison
Beyond Good	greenhouse	0	AUTO-REJETE		Beyond	4	https://www.beyondpricing.com/about/careers?gh_jid=4716418005#jobs	board name "Beyond" ≠ maison
Beyond Retro	greenhouse	0	AUTO-REJETE		Beyond	4	https://www.beyondpricing.com/about/careers?gh_jid=4716418005#jobs	board name "Beyond" ≠ maison
Beyond Yoga	greenhouse	0	AUTO-REJETE		Beyond	4	https://www.beyondpricing.com/about/careers?gh_jid=4716418005#jobs	board name "Beyond" ≠ maison
Birch Babe	personio	0	AUTO-REJETE			3	https://birch.jobs.personio.de/job/1533068	no board name to compare
Birch Beauty	personio	0	AUTO-REJETE			3	https://birch.jobs.personio.de/job/1533068	no board name to compare
Blend Bunny Cosmetics	greenhouse	0	AUTO-REJETE		Blend	9	https://job-boards.greenhouse.io/blend/jobs/6148697004	board name "Blend" ≠ maison
Bleu Cerise	wttj	0	AUTO-REJETE		Bleu	17	https://www.welcometothejungle.com/fr/companies/bleu/jobs/ingenieur-senior-operation-m365-entra-id_bagneux_BLEU_x0xwrmp	board name "Bleu" ≠ maison
Bleu Jean Beauty Co	wttj	0	AUTO-REJETE		Bleu	17	https://www.welcometothejungle.com/fr/companies/bleu/jobs/ingenieur-senior-operation-m365-entra-id_bagneux_BLEU_x0xwrmp	board name "Bleu" ≠ maison
Bliss	recruitee	0	AUTO-REJETE		homepage	6	https://bliss.recruitee.com/o/senior-associate	board name "homepage" ≠ maison
Bloom Cosmetics	smartrecruiters-whitelabel	0	AUTO-REJETE		Bloom	2	https://jobs.smartrecruiters.com/bloom/743999719068426	board name "Bloom" ≠ maison
Branch Basics	greenhouse	0	AUTO-REJETE		Branch	8	https://job-boards.greenhouse.io/branch/jobs/7902638003	board name "Branch" ≠ maison
Brave Planet	greenhouse	0	HUMAIN	site-injoignable(0)	Brave	15	https://job-boards.greenhouse.io/brave/jobs/8165845	board name "Brave" ≠ maison
Brave Soles	greenhouse	0	AUTO-REJETE		Brave	15	https://job-boards.greenhouse.io/brave/jobs/8165845	board name "Brave" ≠ maison
Brave Soul	greenhouse	0	AUTO-REJETE		Brave	15	https://job-boards.greenhouse.io/brave/jobs/8165845	board name "Brave" ≠ maison
BROADWAY NYC FASHION	greenhouse	0	AUTO-REJETE		Broadway Veterinary Clinic	4	https://boards.greenhouse.io/broadway/jobs/5040356002?gh_jid=5040356002	board name "Broadway Veterinary Clinic" ≠ maison
Brothers We Stand	teamtailor	0	AUTO-REJETE		Brothers	10	https://brothers.teamtailor.com/jobs/8009477-assistant-store-manager-till-brothers-allum-partille	board name "Brothers" ≠ maison
Apm	personio	0	AUTO-REJETE			2	https://apm.jobs.personio.de/job/141407	no board name to compare
Bruce Field	teamtailor	0	AUTO-REJETE		Bruce Studios	4	https://bruce.teamtailor.com/jobs/8246049-partner-coordinator-to-bruce-studios	board name "Bruce Studios" ≠ maison
Buddy & Hope	teamtailor	0	HUMAIN	site-injoignable(0)	Buddy AB	1	https://buddy.teamtailor.com/jobs/5007179-teknisk-saljare-inom-iot	board name "Buddy AB" ≠ maison
Buff City Soap	personio	0	AUTO-REJETE		Original BUFF, S.A.	4	https://buff.jobs.personio.de/job/1497679	board name "Original BUFF, S.A." ≠ maison
Buff Experts	personio	0	AUTO-REJETE		Original BUFF, S.A.	4	https://buff.jobs.personio.de/job/1497679	board name "Original BUFF, S.A." ≠ maison
Burnt	greenhouse	0	AUTO-REJETE		XION	8	https://job-boards.greenhouse.io/burnt/jobs/4023066008	board name "XION" ≠ maison
Burt's Bees	teamtailor	0	AUTO-REJETE		Burt Intelligence	3	https://burt.teamtailor.com/jobs/8198798-solutions-engineer-junior-philippines	board name "Burt Intelligence" ≠ maison
Burt's Bees Baby	teamtailor	0	AUTO-REJETE		Burt Intelligence	3	https://burt.teamtailor.com/jobs/8198798-solutions-engineer-junior-philippines	board name "Burt Intelligence" ≠ maison
Butter	teamtailor	0	AUTO-REJETE		All Gravy	23	https://butter.teamtailor.com/jobs/8308636-engineering-team-lead-learning	board name "All Gravy" ≠ maison
Butter & Me	teamtailor	0	AUTO-REJETE		All Gravy	23	https://butter.teamtailor.com/jobs/8308636-engineering-team-lead-learning	board name "All Gravy" ≠ maison
Butter'd Bodycare	teamtailor	0	AUTO-REJETE		All Gravy	23	https://butter.teamtailor.com/jobs/8308636-engineering-team-lead-learning	board name "All Gravy" ≠ maison
Cala de la Cruz	personio	0	AUTO-REJETE			2	https://cala.jobs.personio.de/job/2746807	no board name to compare
CALM Skin Care	greenhouse	0	AUTO-REJETE		Calm.com	1	https://job-boards.greenhouse.io/calm/jobs/8748033002	board name "Calm.com" ≠ maison
Calzedonia	wttj	0	AUTO-REJETE		ONIVERSE	107	https://www.welcometothejungle.com/fr/companies/calzedonia/jobs/conseiller-de-vente-calzedonia-cdd-35h-menton_menton_ONIVE_q75bYxV	board name "ONIVERSE" ≠ maison
CAMP DAVID	greenhouse	0	AUTO-REJETE		CAMP	35	https://job-boards.greenhouse.io/camp/jobs/8723373002	board name "CAMP" ≠ maison
Camp Cove Swim	greenhouse	0	AUTO-REJETE		CAMP	35	https://job-boards.greenhouse.io/camp/jobs/8723373002	board name "CAMP" ≠ maison
Camp High	greenhouse	0	HUMAIN	site-injoignable(0)	CAMP	35	https://job-boards.greenhouse.io/camp/jobs/8723373002	board name "CAMP" ≠ maison
Carla Ferreri	teamtailor	0	AUTO-REJETE		Carla	12	https://carla.teamtailor.com/jobs/8211906-spontanansokan-produktion-kungsangen	board name "Carla" ≠ maison
Carla Zampatti Pty Ltd	teamtailor	0	AUTO-REJETE		Carla	12	https://carla.teamtailor.com/jobs/8211906-spontanansokan-produktion-kungsangen	board name "Carla" ≠ maison
Casa Amuk	greenhouse	0	AUTO-REJETE		Casa	1	https://job-boards.greenhouse.io/casa/jobs/5175872007	board name "Casa" ≠ maison
CASA FLINE	greenhouse	0	AUTO-REJETE		Casa	1	https://job-boards.greenhouse.io/casa/jobs/5175872007	board name "Casa" ≠ maison
Casa Das Peles	greenhouse	0	AUTO-REJETE		Casa	1	https://job-boards.greenhouse.io/casa/jobs/5175872007	board name "Casa" ≠ maison
Casa Raki	greenhouse	0	AUTO-REJETE		Casa	1	https://job-boards.greenhouse.io/casa/jobs/5175872007	board name "Casa" ≠ maison
Casa Hair Care	greenhouse	0	AUTO-REJETE		Casa	1	https://job-boards.greenhouse.io/casa/jobs/5175872007	board name "Casa" ≠ maison
Atlas Rose	personio	0	AUTO-REJETE		Atlas Bildungs Center e.V.	10	https://atlas.jobs.personio.de/job/2336343	board name "Atlas Bildungs Center e.V." ≠ maison
Charles Clinkard	greenhouse	0	AUTO-REJETE		charles	3	https://job-boards.eu.greenhouse.io/charles/jobs/4690310101	board name "charles" ≠ maison
Charles Colby	greenhouse	0	HUMAIN	site-injoignable(0)	charles	3	https://job-boards.eu.greenhouse.io/charles/jobs/4690310101	board name "charles" ≠ maison
Charles Tyrwhitt	greenhouse	0	AUTO-REJETE		charles	3	https://job-boards.eu.greenhouse.io/charles/jobs/4690310101	board name "charles" ≠ maison
Charlotte Bio	personio	0	AUTO-REJETE		Charlotte Bayern	4	https://charlotte.jobs.personio.de/job/501628	board name "Charlotte Bayern" ≠ maison
Charlotte Grace	personio	0	AUTO-REJETE		Charlotte Bayern	4	https://charlotte.jobs.personio.de/job/501628	board name "Charlotte Bayern" ≠ maison
Charlotte Knowles	personio	0	AUTO-REJETE		Charlotte Bayern	4	https://charlotte.jobs.personio.de/job/501628	board name "Charlotte Bayern" ≠ maison
Charlotte Russe	personio	0	AUTO-REJETE		Charlotte Bayern	4	https://charlotte.jobs.personio.de/job/501628	board name "Charlotte Bayern" ≠ maison
Charlotte Tilbury Beauty	personio	0	AUTO-REJETE		Charlotte Bayern	4	https://charlotte.jobs.personio.de/job/501628	board name "Charlotte Bayern" ≠ maison
Cie Malibu	greenhouse	0	AUTO-REJETE		Cie	4	https://job-boards.greenhouse.io/cie/jobs/4701257006	board name "Cie" ≠ maison
Circus NY	personio	0	HUMAIN	site-injoignable(0)	Circus SE	10	https://circus.jobs.personio.de/job/2726425	board name "Circus SE" ≠ maison
Clara's New York	greenhouse	0	AUTO-REJETE		Clara 	117	https://job-boards.greenhouse.io/clara/jobs/5144766007	board name "Clara " ≠ maison
Clear Beauty	greenhouse	0	AUTO-REJETE		CLEAR - Corporate	32	https://job-boards.greenhouse.io/clear/jobs/8154616	board name "CLEAR - Corporate" ≠ maison
Clear Conscience	greenhouse	0	AUTO-REJETE		CLEAR - Corporate	32	https://job-boards.greenhouse.io/clear/jobs/8154616	board name "CLEAR - Corporate" ≠ maison
Clear Label Skincare	greenhouse	0	AUTO-REJETE		CLEAR - Corporate	32	https://job-boards.greenhouse.io/clear/jobs/8154616	board name "CLEAR - Corporate" ≠ maison
Clear Visage	greenhouse	0	AUTO-REJETE		CLEAR - Corporate	32	https://job-boards.greenhouse.io/clear/jobs/8154616	board name "CLEAR - Corporate" ≠ maison
Bag-all	recruitee	0	AUTO-REJETE		Homepage	4	https://talents.brockhaus-ag.careers/o/ausbildung-zum-fachinformatikerin-fur-anwendungsentwicklung-ab-2027-2028	board name "Homepage" ≠ maison
BAG AFFAIR	recruitee	0	AUTO-REJETE		Homepage	4	https://talents.brockhaus-ag.careers/o/ausbildung-zum-fachinformatikerin-fur-anwendungsentwicklung-ab-2027-2028	board name "Homepage" ≠ maison
Cocoon Kapas	greenhouse	0	AUTO-REJETE		Cocoon	2	https://job-boards.greenhouse.io/cocoon/jobs/5821001004	board name "Cocoon" ≠ maison
Banner Day	teamtailor	0	HUMAIN	site-injoignable(0)	Banner	2	https://banner.teamtailor.com/jobs/8264507-office-manager	board name "Banner" ≠ maison
Cove Suncare	teamtailor	0	AUTO-REJETE		cove	1	https://cove.teamtailor.com/jobs/8293988-cove-hr-manager	board name "cove" ≠ maison
CTS	greenhouse	0	AUTO-REJETE		CTS Cloud Trading Solutions LTD	2	https://job-boards.eu.greenhouse.io/cts/jobs/4861227101	board name "CTS Cloud Trading Solutions LTD" ≠ maison
Current State	greenhouse	0	AUTO-REJETE		Current	7	https://job-boards.greenhouse.io/current/jobs/8686054002	board name "Current" ≠ maison
Current/Elliott	greenhouse	0	AUTO-REJETE		Current	7	https://job-boards.greenhouse.io/current/jobs/8686054002	board name "Current" ≠ maison
Dabble & Dollop	teamtailor	0	AUTO-REJETE		Dabble	7	https://dabble.teamtailor.com/jobs/8312728-product-manager-core-12-month-fixed-term-contract	board name "Dabble" ≠ maison
Dash Hemp	teamtailor	0	HUMAIN	site-injoignable(0)	Dash	1	https://dash.teamtailor.com/jobs/8242410-ux-designer	board name "Dash" ≠ maison
David & Sons Fine Jewelers	greenhouse	0	AUTO-REJETE		DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
David Deyong	greenhouse	0	AUTO-REJETE		DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
David Jones Limited	greenhouse	0	AUTO-REJETE		DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
David Koma	greenhouse	0	AUTO-REJETE		DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
David Morris	greenhouse	0	HUMAIN	site-injoignable(0)	DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
David Yurman	greenhouse	0	AUTO-REJETE		DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
David Gandy Well Wear	greenhouse	0	AUTO-REJETE		DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
David's Bridal	greenhouse	0	HUMAIN	site-injoignable(0)	DAVID	8	https://job-boards.greenhouse.io/david/jobs/4716283005	board name "DAVID" ≠ maison
Betty & Co	personio	0	AUTO-REJETE			3	https://betty.jobs.personio.de/job/1319543	no board name to compare
Betty and Biddy	personio	0	AUTO-REJETE			3	https://betty.jobs.personio.de/job/1319543	no board name to compare
Betty Barclay	personio	0	AUTO-REJETE			3	https://betty.jobs.personio.de/job/1319543	no board name to compare
Dillard's	greenhouse	0	AUTO-REJETE		Dillards	4	https://job-boards.greenhouse.io/dillards/jobs/4320107007	board name "Dillards" ≠ maison
Donna Carolina	recruitee	0	AUTO-REJETE		Homepage	5	https://careers.askdonna.com/o/ai-data-analyst	board name "Homepage" ≠ maison
Donna Dura	recruitee	0	AUTO-REJETE		Homepage	5	https://careers.askdonna.com/o/ai-data-analyst	board name "Homepage" ≠ maison
Donna Karan	recruitee	0	AUTO-REJETE		Homepage	5	https://careers.askdonna.com/o/ai-data-analyst	board name "Homepage" ≠ maison
Donna Sport	recruitee	0	AUTO-REJETE		Homepage	5	https://careers.askdonna.com/o/ai-data-analyst	board name "Homepage" ≠ maison
Dots On Tots	greenhouse	0	AUTO-REJETE		Dots	1	https://job-boards.greenhouse.io/dots/jobs/93350	board name "Dots" ≠ maison
Draeger Paris	recruitee	0	AUTO-REJETE		Homepage	6	https://draegerparis.recruitee.com/o/responsable-de-secteur-hf-35	board name "Homepage" ≠ maison
Dutch Dandies	lever	0	AUTO-REJETE		Dutch	13	https://jobs.lever.co/dutch/dd00d86f-b444-4f82-8b86-2e2386d4de22	board name "Dutch" ≠ maison
Dutch Dream Denim	lever	0	HUMAIN	site-injoignable(0)	Dutch	13	https://jobs.lever.co/dutch/dd00d86f-b444-4f82-8b86-2e2386d4de22	board name "Dutch" ≠ maison
Dutch Label Shop	lever	0	AUTO-REJETE		Dutch	13	https://jobs.lever.co/dutch/dd00d86f-b444-4f82-8b86-2e2386d4de22	board name "Dutch" ≠ maison
Dyad Fragrance	personio	0	AUTO-REJETE			3	https://dyad.jobs.personio.de/job/2733093	no board name to compare
E.Leclerc	teamtailor	0	AUTO-REJETE		E.Leclerc Commission VFM	10	https://eleclerc.teamtailor.com/jobs/3504058-boulanger-h-f	board name "E.Leclerc Commission VFM" ≠ maison
Earnest Mom	greenhouse	0	AUTO-REJETE		Earnest	9	https://app.careerpuck.com/job-board/earnest/job/8167670?gh_jid=8167670	board name "Earnest" ≠ maison
EARNEST SEWN	greenhouse	0	AUTO-REJETE		Earnest	9	https://app.careerpuck.com/job-board/earnest/job/8167670?gh_jid=8167670	board name "Earnest" ≠ maison
Eco Lips	teamtailor	0	AUTO-REJETE		TuoLavoro	60	https://eco.teamtailor.com/jobs/8313538-operatore-call-center-tecnologie-idriche	board name "TuoLavoro" ≠ maison
Eco Intimates	teamtailor	0	AUTO-REJETE		TuoLavoro	60	https://eco.teamtailor.com/jobs/8313538-operatore-call-center-tecnologie-idriche	board name "TuoLavoro" ≠ maison
Eco Tee Co	teamtailor	0	HUMAIN	site-injoignable(0)	TuoLavoro	60	https://eco.teamtailor.com/jobs/8313538-operatore-call-center-tecnologie-idriche	board name "TuoLavoro" ≠ maison
Blue & Yellow	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
BLUE BIRD	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Blanket	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Blue Japan	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue By Betsey Johnson	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
BLUE CROSS	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Fire Co.	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue de Gênes	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
Blue Fire Pear	lever	0	AUTO-REJETE		BlueCloud Services, Inc.	10	https://jobs.lever.co/blue/cae65436-a504-4d91-a8fa-d3502fbd1242	board name "BlueCloud Services, Inc." ≠ maison
